Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
3;6.77E+04;0.00E+00;2.20E-06;5.00E-05;0.00E+00;0.00E+00;4;0;3603.136902;-14899.99676;0;81.25120072;186;372.3308405
50;2.49E+04;0.00E+00;1.57E-06;5.00E-05;0.00E+00;0.00E+00;4;0;879.4630534;-4265.594253;0;114.5922455;32;97.22417504
51;1.91E+05;0.00E+00;5.85E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-206.3026691;-14242.87675;0;2598.472055;103;108.5424004
61;5.66E+04;0.00E+00;1.76E-06;5.00E-05;0.00E+00;0.00E+00;4;0;1428.035136;-8797.464987;0;353.2574271;72;71.57921968
62;3.86E+04;0.00E+00;1.86E-06;5.00E-05;0.00E+00;0.00E+00;4;0;4215.04885;-11534.61113;0;89.11245449;168;193.5372087
64;5.17E+04;0.00E+00;2.50E-06;5.00E-05;0.00E+00;0.00E+00;4;0;3908.37605;-15220.16239;0;158.457295;188;145.7971176
69;7.32E+04;0.00E+00;7.59E-07;5.00E-05;0.00E+00;0.00E+00;4;0;4072.208296;-8079.269703;0;200.379914;144;163.2382807
73;2.91E+04;0.00E+00;2.13E-06;5.00E-05;0.00E+00;0.00E+00;4;0;539.497805;-6269.653765;0;179.9652553;50;72.40255418
93;6.62E+04;0.00E+00;7.37E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-354.9170744;15.88144615;0;328.7702375;1;90.0733017
101;5.59E+04;0.00E+00;9.62E-07;5.00E-05;0.00E+00;0.00E+00;4;0;3537.301665;-14819.6415;0;63.41195214;185;394.353461
120;4.81E+04;0.00E+00;1.24E-06;5.00E-05;0.00E+00;0.00E+00;4;0;3125.736563;-14451.45839;0;238.4170023;183;90.17597555
128;6.29E+04;0.00E+00;2.01E-06;5.00E-05;0.00E+00;0.00E+00;4;0;1629.194025;-9633.515988;0;359.3188778;77;78.23225958
131;1.20E+04;0.00E+00;1.05E-06;5.00E-05;0.00E+00;0.00E+00;4;0;4179.955606;-11536.07397;0;63.09578577;168;84.87310042
140;6.83E+04;0.00E+00;1.89E-06;5.00E-05;0.00E+00;0.00E+00;4;0;832.0710122;-12326.44884;0;424.1710389;103;238.0110388
154;3.74E+04;0.00E+00;1.11E-06;5.00E-05;0.00E+00;0.00E+00;4;0;4197.445288;-6856.74455;0;144.5947946;154;115.7334244
157;4.11E+04;0.00E+00;2.49E-06;5.00E-05;0.00E+00;0.00E+00;4;0;2272.275657;-13399.63091;0;738.136806;104;82.30412124

